pk_teuna_fikt,mispar_rehev_fikt,SHNAT_TEUNA,HODESH_TEUNA,NEFAH,SHNAT_YITZUR,KIVUNE_NESIA,MATZAV_REHEV,SHIYUH_REHEV_LMS,NEZEK,SUG_REHEV_LMS,MEKOMOT_YESHIVA_LMS,MISHKAL_KOLEL_LMS,SUG_TIK
2023036662,1,2023,1,5,2007,0,0,1,4,1,99,1,3
2023005178,2,2023,1,6,2016,0,0,1,4,1,3,1,3
2023012518,1,2023,6,9,2014,0,0,1,1,1,5,2,3
2023056168,2,2023,6,9,2017,0,0,1,1,24,99,3,3
2023088963,1,2023,6,6,2016,0,0,1,1,1,3,2,3
2023088963,2,2023,6,5,2017,0,0,1,4,1,99,1,3
2023014983,1,2023,6,6,2017,0,0,1,3,1,3,1,3
2023014983,2,2023,6,12,2012,0,0,1,4,5,99,10,3
2023043024,1,2023,6,4,2019,0,0,1,4,1,3,1,3
2023043024,2,2023,6,0,0,0,0,1,0,17,99,0,3
2023093085,1,2023,6,0,0,0,0,1,0,17,99,0,3
2023093085,2,2023,6,6,2017,0,0,1,4,1,3,1,3
2023032238,1,2023,7,6,2012,0,0,1,4,1,99,1,3
2023049146,1,2023,7,8,2014,2211,0,1,1,1,3,2,3
2023049146,2,2023,7,8,2022,1122,0,1,2,12,3,2,3
2023030313,1,2023,6,8,2015,0,0,1,1,1,3,2,3
2023030313,2,2023,6,0,0,0,0,1,0,17,99,0,3
2023072928,1,2023,7,7,2020,0,0,1,4,1,3,1,3
2023072928,2,2023,7,8,2020,0,0,1,1,1,3,2,3
2023072928,3,2023,7,12,2020,0,0,1,4,11,51,11,3
2023052479,1,2023,7,7,2015,0,0,1,4,1,5,2,3
2023052479,2,2023,7,2,2020,0,0,1,1,9,1,,3
2023023300,1,2023,7,2,2020,0,0,1,4,10,1,,3
2023023300,2,2023,7,5,2016,0,0,1,4,1,3,1,3
2023020515,1,2023,6,9,2013,0,0,1,4,3,3,3,3
2023020515,2,2023,6,12,2012,0,0,1,4,24,3,5,3
2023059421,1,2023,7,5,2011,0,0,1,4,1,3,1,3
2023059421,2,2023,7,7,2008,0,0,1,4,1,4,1,3
2023005834,1,2023,7,8,2022,0,0,1,4,1,3,2,3
2023078469,1,2023,7,6,2000,0,0,1,4,1,5,,3
2023078469,2,2023,7,6,2014,0,0,1,4,1,3,1,3
2023095683,1,2023,7,12,2013,0,0,1,4,5,99,10,3
2023095683,2,2023,7,0,0,0,0,1,4,23,99,0,3
2023022844,1,2023,7,5,2019,0,0,1,4,1,3,1,3
2023022844,2,2023,7,6,2010,0,0,1,4,1,99,1,3
2023065630,1,2023,1,7,2019,0,0,1,4,12,3,1,3
2023066831,1,2023,6,8,2006,0,0,1,4,2,3,2,3
2023066831,2,2023,6,10,2018,0,0,1,4,1,3,2,3
2023044647,1,2023,6,6,2023,0,0,1,1,1,3,1,3
2023044647,2,2023,6,5,2001,0,0,1,4,1,99,1,3
2023029046,1,2023,6,6,2018,0,0,1,1,1,3,1,3
2023029046,2,2023,6,6,2019,0,0,1,1,1,3,1,3
2023093542,1,2023,7,6,2005,0,0,1,4,1,99,,3
2023074228,1,2023,7,9,2015,0,0,1,4,1,5,3,3
2023074228,2,2023,7,0,0,0,0,1,4,21,99,0,3
2023088271,1,2023,6,4,2017,0,0,1,1,1,3,1,3
2023088271,2,2023,6,0,0,0,0,1,4,17,99,0,3
2023008319,1,2023,4,8,2022,0,0,1,1,1,99,1,3
2023008319,2,2023,4,9,2013,0,0,1,4,3,3,3,3
2023090014,1,2023,7,9,2022,0,0,1,4,1,5,2,3
